OBJECTID;ID_0;ISO;NAME_0;ID_1;ID_2;NAME_1;NAME_2
2;1;AFG;Afghanistan;1;2;Badakhshan;Darwaz
4;1;AFG;Afghanistan;1;4;Badakhshan;Ishkashim
5;1;AFG;Afghanistan;1;5;Badakhshan;Jurm
6;1;AFG;Afghanistan;1;6;Badakhshan;Khwahan
7;1;AFG;Afghanistan;1;7;Badakhshan;Kishim
8;1;AFG;Afghanistan;1;8;Badakhshan;Kuran Wa Munjan
9;1;AFG;Afghanistan;1;9;Badakhshan;Ragh
10;1;AFG;Afghanistan;1;10;Badakhshan;Shahri Buzurg
12;1;AFG;Afghanistan;1;12;Badakhshan;Wakhan
13;1;AFG;Afghanistan;1;13;Badakhshan;Zebak
14;1;AFG;Afghanistan;2;14;Badghis;Ab Kamari
15;1;AFG;Afghanistan;2;15;Badghis;Ghormach
16;1;AFG;Afghanistan;2;16;Badghis;Jawand
17;1;AFG;Afghanistan;2;17;Badghis;Muqur
19;1;AFG;Afghanistan;2;19;Badghis;Qadis
21;1;AFG;Afghanistan;3;21;Baghlan;Andarab
23;1;AFG;Afghanistan;3;23;Baghlan;Baghlani Jadid
24;1;AFG;Afghanistan;3;24;Baghlan;Burka
25;1;AFG;Afghanistan;3;25;Baghlan;Dahana-I-Ghori
26;1;AFG;Afghanistan;3;26;Baghlan;Doshi
27;1;AFG;Afghanistan;3;27;Baghlan;Kahmard
28;1;AFG;Afghanistan;3;28;Baghlan;Khinjan
30;1;AFG;Afghanistan;3;30;Baghlan;Nahrin
32;1;AFG;Afghanistan;3;32;Baghlan;Tala Wa Barfak
34;1;AFG;Afghanistan;4;34;Balkh;Char Bolak
35;1;AFG;Afghanistan;4;35;Balkh;Charkint
41;1;AFG;Afghanistan;4;41;Balkh;Kishindih
49;1;AFG;Afghanistan;5;49;Bamyan;Shibar
50;1;AFG;Afghanistan;5;50;Bamyan;Waras
51;1;AFG;Afghanistan;5;51;Bamyan;Yakawlang
52;1;AFG;Afghanistan;6;52;Daykundi;Day Kundi
53;1;AFG;Afghanistan;6;53;Daykundi;Gizab
54;1;AFG;Afghanistan;6;54;Daykundi;Kijran
55;1;AFG;Afghanistan;6;55;Daykundi;Shahristan
57;1;AFG;Afghanistan;7;57;Farah;Bakwa
63;1;AFG;Afghanistan;7;63;Farah;Purchaman
67;1;AFG;Afghanistan;8;67;Faryab;Almar
69;1;AFG;Afghanistan;8;69;Faryab;Bilchiragh
70;1;AFG;Afghanistan;8;70;Faryab;Dawlat abad
73;1;AFG;Afghanistan;8;73;Faryab;Kohistan
74;1;AFG;Afghanistan;8;74;Faryab;Maymana
77;1;AFG;Afghanistan;8;77;Faryab;Qaysar
78;1;AFG;Afghanistan;8;78;Faryab;Shirin Tagab
79;1;AFG;Afghanistan;9;79;Ghazni;Ab Band
80;1;AFG;Afghanistan;9;80;Ghazni;Ajristan
81;1;AFG;Afghanistan;9;81;Ghazni;Andar
82;1;AFG;Afghanistan;9;82;Ghazni;Dihyak
83;1;AFG;Afghanistan;9;83;Ghazni;Gelan
85;1;AFG;Afghanistan;9;85;Ghazni;Giro
87;1;AFG;Afghanistan;9;87;Ghazni;Jaghuri
88;1;AFG;Afghanistan;9;88;Ghazni;Malistan
90;1;AFG;Afghanistan;9;90;Ghazni;Nawa
91;1;AFG;Afghanistan;9;91;Ghazni;Nawur
92;1;AFG;Afghanistan;9;92;Ghazni;Qarabagh
93;1;AFG;Afghanistan;9;93;Ghazni;Zana Khan
95;1;AFG;Afghanistan;10;95;Ghor;Lal Wa Sarjangal
96;1;AFG;Afghanistan;10;96;Ghor;Pasaband
97;1;AFG;Afghanistan;10;97;Ghor;Saghar
99;1;AFG;Afghanistan;10;99;Ghor;Taywara
100;1;AFG;Afghanistan;10;100;Ghor;Tulak
101;1;AFG;Afghanistan;11;101;Hilmand;Bughran
102;1;AFG;Afghanistan;11;102;Hilmand;Disho
109;1;AFG;Afghanistan;11;109;Hilmand;Naw Zad
111;1;AFG;Afghanistan;11;111;Hilmand;Reg
116;1;AFG;Afghanistan;12;116;Hirat;Farsi
